PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PUBLIC	VIC	WERRIBEE MERCY MENTAL HEALTH PROGRAM	0032120T	298 PRINCES HIGHWAY	WERRIBEE	3030																																												
PUBLIC	NSW	WERRIS CREEK COMMUNITY HOSPITAL	0012370H	22-34 NORTH STREET	WERRIS CREEK	2341																																												
PRIVATE	NSW	WESLEY HOSPITAL ASHFIELD	0016210L	91 MILTON STREET	ASHFIELD	2131																																												
PRIVATE	NSW	WESLEY HOSPITAL KOGARAH	0016230J	7 BLAKE STREET	KOGARAH	2217																																												
PRIVATE	QLD	WESLEY HYPERBARIC	0928171B	"GROUND FLOOR, SANDFORD JACKSON BUILDING,  CHASELY STREET"	AUCHENFLOWER	4066																																												
PUBLIC	TAS	WEST COAST DISTRICT HOSPITAL	0080170H	ORR STREET	QUEENSTOWN	7467																																												
PRIVATE	WA	WEST COAST ENDOSCOPY CENTRE	0075640L	1/32 PIMLICO PLACE	JOONDALUP	6027																																												
PRIVATE	WA	WEST COAST SURGICAL INSTITUTE 	0077300W	"SUITE 1, 1140 ALBANY HIGHWAY"	BENTLEY	6102																																												
PRIVATE	VIC	WEST GIPPSLAND ENDOSCOPY CENTRE	0044340T	41 LANDSBOROUGH STREET	WARRAGUL	3820																																												
PUBLIC	VIC	WEST GIPPSLAND HEALTHCARE GROUP	0031310W	41 LANDSBOROUGH STREET	WARRAGUL	3820																																												
PRIVATE	WA	WEST LEEDERVILLE PRIVATE HOSPITAL	0075710T	"LEVEL 3, 2 MCCOURT STREET"	WEST LEEDERVILLE	6007																																												
PUBLIC	VIC	WEST WIMMERA HEALTH SERVICE - JEPARIT	0031370F	2 CHARLES STREET	JEPARIT	3423																																												
PUBLIC	VIC	WEST WIMMERA HEALTH SERVICE - KANIVA	0031900W	9 FARMERS STREET	KANIVA	3419																																												
PUBLIC	VIC	WEST WIMMERA HEALTH SERVICE - NHILL	0031900W	45 NELSON STREET	NHILL	3418																																												
PUBLIC	VIC	WEST WIMMERA HEALTH SERVICE - RAINBOW	0031900W	2 SWINBOURNE AVENUE	RAINBOW	3424																																												
PUBLIC	VIC	WESTERN DISTRICT HEALTH SERVICE - COLERAINE	0030280T	119 MCKEBERY STREET	COLERAINE	3315																																												
PUBLIC	VIC	WESTERN DISTRICT HEALTH SERVICE - HAMILTON	0030490F	20 FOSTER STREET	HAMILTON	3300																																												
PUBLIC	VIC	WESTERN DISTRICT HEALTH SERVICE - PENSHURST	0030890K	146 COBB STREET	PENSHURST	3289																																												
PRIVATE	VIC	WESTERN GASTROENTEROLOGY SERVICES	0656761A	30 ELEANOR STREET	FOOTSCRAY	3011																																												
PRIVATE	WA	WESTERN HAEMATOLOGY AND ONCOLOGY CLINICS	0077280F	18 PROWSE STREET	WEST PERTH	6005																																												
PUBLIC	VIC	WESTERN HEALTH - BACCHUS MARSH	0030070B	29-35 GRANT STREET	BACCHUS MARSH	3340																																												
PUBLIC	VIC	WESTERN HEALTH - MELTON HEALTH	0031970B	195-209 BARRIES ROAD	MELTON WEST	3337																																												
PRIVATE	SA	WESTERN HOSPITAL	0065780W	168 CUDMORE TERRACE	HENLEY BEACH	5022																																												
PUBLIC	VIC	WESTERN HOSPITAL	0031850K	160 GORDON STREET	FOOTSCRAY	3011																																												
PRIVATE	VIC	WESTERN PRIVATE HOSPITAL	0036770T	1-9 MARION STREET	FOOTSCRAY	3011																																												
PRIVATE	NSW	WESTERN SYDNEY PRIVATE ONCOLOGY & INFUSION CENTRE	0027370W	"LEVEL 2, WESTMEAD SPECIALIST CENTRE, 16-18 MONS ROAD"	WESTMEAD	2145																																												
PUBLIC	NSW	WESTMEAD HOSPITAL	0012760T	166-174 DARCY ROAD	WESTMEAD	2145																																												
PRIVATE	NSW	WESTMEAD PRIVATE HOSPITAL	0017240Y	CNR MONS & DARCY ROADS	WESTMEAD	2145																																												
PRIVATE	NSW	WESTMEAD REHABILITATION HOSPITAL	0027210K	7 COLEMAN STREET	MERRYLANDS	2160																																												
PRIVATE	VIC	WESTPOINT ENDOSCOPY DAY HOSPITAL	0043910F	243 HEATHS ROAD	WERRIBEE	3030																																												
PRIVATE	QLD	WESTSIDE PRIVATE HOSPITAL	0056200W	"LEVELS GROUND, 1 & 3, 32 MORROW STREET"	TARINGA	4068																																												
PRIVATE	VIC	WHITEHORSE DAY SURGERY	0834421F	852-856 WHITEHORSE ROAD	BOX HILL	3128																																												
PUBLIC	SA	WHYALLA HOSPITAL	0060610J	20 WOOD TERRACE	WHYALLA	5600																																												
PRIVATE	QLD	WIDE BAY PRIVATE DAY HOSPITAL	0057610L	125 WOONGARRA STREET 	BUNDABERG WEST	4670																																												
PUBLIC	NSW	WILCANNIA HEALTH SERVICE	0012380F	14 ROSS STREET	WILCANNIA	2836																																												
PUBLIC	VIC	WILLIAMSTOWN HOSPITAL	0031340K	77B RAILWAY CRESCENT	WILLIAMSTOWN	3016																																												
PUBLIC	NSW	WILSON MEMORIAL COMMUNITY HOSPITAL	0012390B	59 O'CONNELL STREET	MURRURUNDI	2338																																												
PUBLIC	VIC	WIMMERA HEALTH CARE GROUP - DIMBOOLA	0030330Y	32-36 ANDERSON STREET	DIMBOOLA	3414																																												
PUBLIC	VIC	WIMMERA HEALTH CARE GROUP - HORSHAM	0034650W	83 BAILLIE STREET	HORSHAM	3400																																												
PRIVATE	SA	WINDSOR GARDENS DAY SURGERY	0067270A	"SUITE 1, LEVEL 1, 480 NORTH EAST ROAD"	WINDSOR GARDENS	5087																																												
PRIVATE	VIC	WINDSOR PRIVATE HOSPITAL	0657421L	20 THE AVENUE	WINDSOR	3181																																												
PUBLIC	NSW	WINGHAM COMMUNITY HOSPITAL	0012610H	32 BUNGAY ROAD	WINGHAM	2429																																												
PUBLIC	QLD	WINTON HOSPITAL	0051350Y	BLOOMFIELD STREET	WINTON	4735																																												
PRIVATE	NSW	WOLLONGONG DAY SURGERY	0657841T	354-358 CROWN STREET	WOLLONGONG	2500																																												
PUBLIC	NSW	WOLLONGONG HOSPITAL	0012400W	348 CROWN STREET	WOLLONGONG	2500																																												
PRIVATE	NSW	WOLLONGONG PRIVATE HOSPITAL	0017530K	360 CROWN STREET	WOLLONGONG	2500																																												
PRIVATE	NSW	WOLPER JEWISH HOSPITAL	0016320H	8 TRELAWNEY STREET	WOOLLAHRA	2025																																												
PUBLIC	SA	WOMENS AND CHILDRENS HOSPITAL	0060000L	72 KING WILLIAM ROAD	NORTH ADELAIDE	5006																																												
PUBLIC	QLD	WONDAI HOSPITAL	0051360X	BRAMSTON STREET	WONDAI	4606																																												
PUBLIC	WA	WONGAN HILLS HOSPITAL	0070810H	ACKLAND STREET	WONGAN HILLS	6603																																												
PUBLIC	SA	WOOMERA HOSPITAL	0060450J	15 DEWRANG AVENUE	WOOMERA	5720																																												
PUBLIC	QLD	WOORABINDA HOSPITAL	0051370W	1 MUNNS DRIVE	WOORABINDA	4702																																												
PUBLIC	NSW	WOY WOY PUBLIC HOSPITAL	0012650Y	7 KATHLEEN STREET	WOY WOY	2256																																												
PUBLIC	SA	WUDINNA HOSPITAL	0060620H	16-24 RICHARDS AVENUE	WUDINNA	5652																																												
PUBLIC	WA	WYALKATCHEM HOSPITAL	0070790W	HONOUR AVENUE	WYALKATCHEM	6485																																												
PUBLIC	NSW	WYALONG HOSPITAL	0012410T	70 UNGARIE ROAD	WEST WYALONG	2671																																												
PRIVATE	VIC	WYNDHAM CLINIC	0036930T	242A HOPPERS LANE & SUITE 21/242 HOPPERS LANE 	WERRIBEE	3030																																												
PUBLIC	WA	WYNDHAM HOSPITAL	0071200B	MINDEROO STREET	WYNDHAM	6740																																												
PUBLIC	NSW	WYONG PUBLIC HOSPITAL	0012770L	664 PACIFIC HIGHWAY	HAMLYN TERRACE	2259																																												
PUBLIC	VIC	YARRA RANGES HEALTH	0031990Y	25 MARKET STREET	LILYDALE	3140																																												
PUBLIC	VIC	YARRAM & DISTRICT HEALTH SERVICE	0031430J	85-91 COMMERCIAL ROAD	YARRAM	3971																																												
PUBLIC	VIC	YARRAWONGA HEALTH	0031440H	33 PIPER STREET	YARRAWONGA	3730																																												
PUBLIC	NSW	YASS DISTRICT HOSPITAL	0012420L	145-147 MEEHAN STREET	YASS	2582																																												
PUBLIC	VIC	YEA AND DISTRICT MEMORIAL HOSPITAL	0031450F	45 STATION STREET	YEA	3717																																												
PUBLIC	WA	YORK HOSPITAL	0070830B	TREWS ROAD	YORK	6302																																												
PUBLIC	NSW	YOUNG DISTRICT HOSPITAL	0012430K	68 ALLANAN STREET	YOUNG	2594																																												
PUBLIC	VIC	YOUTH PREVENTION AND RECOVERY CARE (Y-PARC)	0032130L	21 YUILLE STREET	FRANKSTON	3199																																												
